tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2015-506,Buenos Aires,Clay,28,A,20150223,25,104745,1,,Rafael Nadal,L,185,ESP,28.72553046,104122,,,Carlos Berlocq,R,183,ARG,32.05475702,7-6(7) 6-2,3,SF,113,1,1,72,45,32,16,10,3,4,3,1,71,49,35,8,10,6,9,4,5425,74,670
2015-506,Buenos Aires,Clay,28,A,20150223,27,104745,1,,Rafael Nadal,L,185,ESP,28.72553046,104338,,,Juan Monaco,R,185,ARG,30.90485969,6-4 6-1,3,F,87,1,0,49,38,30,4,8,0,0,0,0,60,45,26,6,9,5,9,4,5425,60,815
2015-410,Monte Carlo Masters,Clay,56,M,20150412,29,104745,3,,Rafael Nadal,L,185,ESP,28.85968515,106298,,WC,Lucas Pouille,R,185,FRA,21.13347023,6-2 6-1,3,R32,69,0,0,44,28,25,8,8,0,0,0,0,43,21,11,9,7,3,7,5,5255,108,515
2015-410,Monte Carlo Masters,Clay,56,M,20150412,43,104745,3,,Rafael Nadal,L,185,ESP,28.85968515,104545,15,,John Isner,R,206,USA,29.96303901,7-6(6) 4-6 6-3,3,R16,140,7,0,90,66,51,18,16,2,3,12,1,102,62,47,19,15,4,5,5,5255,19,1720
2015-410,Monte Carlo Masters,Clay,56,M,20150412,50,104745,3,,Rafael Nadal,L,185,ESP,28.85968515,103970,5,,David Ferrer,R,175,ESP,33.0294319,6-4 5-7 6-2,3,QF,165,0,2,99,73,44,14,15,3,7,1,4,99,62,36,16,15,4,10,5,5255,7,4670
2015-425,Barcelona,Clay,48,A,20150420,32,104745,2,,Rafael Nadal,L,185,ESP,28.8788501,104597,,,Nicolas Almagro,R,183,ESP,29.66187543,6-3 6-1,3,R32,99,3,0,65,40,25,15,8,8,9,2,1,58,35,18,8,8,5,10,4,5435,123,450
2015-1536,Madrid Masters,Clay,56,M,20150503,29,104745,3,,Rafael Nadal,L,185,ESP,28.91718001,105449,,,Steve Johnson,R,188,USA,25.35797399,6-4 6-3,3,R32,74,0,0,46,38,31,5,9,0,0,4,2,54,38,28,6,10,2,5,4,5390,54,880
2015-1536,Madrid Masters,Clay,56,M,20150503,43,104745,3,,Rafael Nadal,L,185,ESP,28.91718001,104620,,,Simone Bolelli,R,183,ITA,29.5687885,6-2 6-2,3,R16,73,2,2,48,34,26,9,8,2,2,0,2,44,23,12,11,8,1,5,4,5390,63,791
2015-1536,Madrid Masters,Clay,56,M,20150503,50,104745,3,,Rafael Nadal,L,185,ESP,28.91718001,105777,10,,Grigor Dimitrov,R,188,BUL,23.96714579,6-3 6-4,3,QF,108,4,1,55,38,24,10,9,3,5,4,4,83,53,29,12,10,10,15,4,5390,11,2985
2015-1536,Madrid Masters,Clay,56,M,20150503,53,104745,3,,Rafael Nadal,L,185,ESP,28.91718001,104607,6,,Tomas Berdych,R,196,CZE,29.62628337,7-6(3) 6-1,3,SF,104,2,0,55,37,32,13,10,0,0,8,5,73,33,23,21,9,7,9,4,5390,7,4960
2015-416,Rome Masters,Clay,56,M,20150510,36,104745,4,,Rafael Nadal,L,185,ESP,28.93634497,104947,,Q,Marsel Ilhan,R,190,TUR,27.91512663,6-2 6-0,3,R32,75,2,1,42,26,24,6,7,2,2,4,1,55,29,13,11,7,6,11,7,4990,87,592
2015-416,Rome Masters,Clay,56,M,20150510,46,104745,4,,Rafael Nadal,L,185,ESP,28.93634497,104545,16,,John Isner,R,206,USA,30.03969884,6-4 6-4,3,R16,80,3,3,51,39,35,5,10,0,0,7,2,56,39,32,5,10,4,6,7,4990,17,1855
2015-520,Roland Garros,Clay,128,G,20150524,16,104745,6,,Rafael Nadal,L,185,ESP,28.97467488,111460,,WC,Quentin Halys,R,,FRA,18.57631759,6-3 6-3 6-4,5,R128,110,0,1,72,50,41,14,14,1,2,5,4,87,59,36,10,14,4,9,7,4570,296,159
2015-520,Roland Garros,Clay,128,G,20150524,72,104745,6,,Rafael Nadal,L,185,ESP,28.97467488,104597,,,Nicolas Almagro,R,183,ESP,29.75770021,6-4 6-3 6-1,5,R64,139,5,3,93,63,46,13,13,6,7,2,2,92,62,34,14,13,10,16,7,4570,154,335
2015-520,Roland Garros,Clay,128,G,20150524,100,104745,6,,Rafael Nadal,L,185,ESP,28.97467488,105723,,,Andrey Kuznetsov,R,185,RUS,24.25188227,6-1 6-3 6-2,5,R32,121,1,1,80,47,27,23,12,4,6,2,2,81,44,22,16,12,6,14,7,4570,120,465
2015-520,Roland Garros,Clay,128,G,20150524,114,104745,6,,Rafael Nadal,L,185,ESP,28.97467488,106058,,,Jack Sock,R,185,USA,22.66392882,6-3 6-1 5-7 6-2,5,R16,172,1,2,98,65,45,19,18,3,7,2,9,122,56,31,31,18,12,21,7,4570,37,1125
2015-410,Monte Carlo Masters,Clay,56,M,20150412,53,104925,1,,Novak Djokovic,R,188,SRB,27.89322382,104745,3,,Rafael Nadal,L,185,ESP,28.85968515,6-3 6-3,3,SF,98,1,0,57,43,31,8,9,2,3,2,3,66,43,25,11,9,6,10,1,13205,5,5255
2015-425,Barcelona,Clay,48,A,20150420,40,104926,13,,Fabio Fognini,R,178,ITA,27.90691307,104745,2,,Rafael Nadal,L,185,ESP,28.8788501,6-4 7-6(6),3,R16,121,1,1,87,47,33,20,11,11,14,1,0,71,50,29,11,11,4,8,30,1240,4,5435
2015-1536,Madrid Masters,Clay,56,M,20150503,55,104918,2,,Andy Murray,R,190,GBR,27.96988364,104745,3,,Rafael Nadal,L,185,ESP,28.91718001,6-3 6-2,3,F,89,3,1,52,31,21,17,9,3,3,1,1,47,34,23,6,8,3,6,3,6220,4,5390
2015-416,Rome Masters,Clay,56,M,20150510,51,104527,8,,Stan Wawrinka,R,183,SUI,30.11909651,104745,4,,Rafael Nadal,L,185,ESP,28.93634497,7-6(7) 6-2,3,QF,126,1,2,82,47,30,20,10,7,9,1,0,74,52,35,8,10,3,7,9,3575,7,4990
2015-520,Roland Garros,Clay,128,G,20150524,121,104925,1,,Novak Djokovic,R,188,SRB,28.00821355,104745,6,,Rafael Nadal,L,185,ESP,28.97467488,7-5 6-3 6-1,5,QF,146,3,0,80,50,38,18,14,3,5,3,2,93,56,33,14,14,11,18,1,13845,7,4570
2016-0506,Buenos Aires,Clay,32,A,20160208,293,104745,1,,Rafael Nadal,L,185,ESP,29.68377823,104338,,,Juan Monaco,R,185,ARG,31.86310746,6-4 6-4,3,R16,98,2,2,61,51,32,4,10,3,6,1,0,57,47,21,8,10,3,8,5,4880,55,800
2016-0506,Buenos Aires,Clay,32,A,20160208,297,104745,1,,Rafael Nadal,L,185,ESP,29.68377823,103893,,,Paolo Lorenzi,R,183,ITA,34.14921287,7-6(3) 6-2,3,QF,111,2,1,65,45,33,12,10,3,4,5,1,63,33,25,10,10,2,5,5,4880,52,831
2016-0410,Monte Carlo Masters,Clay,64,M,20160411,277,104745,5,,Rafael Nadal,L,185,ESP,29.85626283,105379,,,Aljaz Bedene,R,181,SLO,26.73237509,6-3 6-3,3,R32,79,2,2,53,36,24,9,9,3,5,1,3,48,25,14,8,9,2,7,5,4955,60,795
2016-0410,Monte Carlo Masters,Clay,64,M,20160411,289,104745,5,,Rafael Nadal,L,185,ESP,29.85626283,106233,12,,Dominic Thiem,R,185,AUT,22.6036961,7-5 6-3,3,R16,123,3,0,79,58,38,12,11,15,17,3,3,73,38,25,16,10,4,8,5,4955,14,2420
2016-0410,Monte Carlo Masters,Clay,64,M,20160411,295,104745,5,,Rafael Nadal,L,185,ESP,29.85626283,104527,4,,Stan Wawrinka,R,183,SUI,31.03901437,6-1 6-4,3,QF,77,2,1,45,26,22,11,9,0,1,3,1,51,26,18,7,8,5,9,5,4955,4,6370
2016-0410,Monte Carlo Masters,Clay,64,M,20160411,298,104745,5,,Rafael Nadal,L,185,ESP,29.85626283,104918,2,,Andy Murray,R,190,GBR,28.90896646,2-6 6-4 6-2,3,SF,163,2,2,90,67,43,13,13,8,11,4,2,87,44,30,19,13,6,10,5,4955,2,7815
2016-0410,Monte Carlo Masters,Clay,64,M,20160411,300,104745,5,,Rafael Nadal,L,185,ESP,29.85626283,104792,13,,Gael Monfils,R,193,FRA,29.60985626,7-5 5-7 6-0,3,F,166,1,4,95,67,47,8,15,8,13,4,7,98,63,33,14,15,13,21,5,4955,16,2220
